data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2021-03-01 17:00:00,ITA,19112,2289,21401,402932,424333,1966,13114,2416093,97945,,,2938371,40303520,19685310,,171,,,2887097,51274,34932830,5370690
2021-03-02 17:00:00,ITA,19570,2327,21897,409099,430996,6663,17083,2426150,98288,,,2955434,40639503,19790559,,222,,,2901272,54162,35087433,5552070
2021-03-03 17:00:00,ITA,19763,2411,22174,415247,437421,6425,20884,2440218,98635,,,2976274,40998387,19906431,,222,,,2919425,56849,35279774,5718613
2021-03-04 17:00:00,ITA,20157,2475,22632,423807,446439,9018,22865,2453706,98974,,,2999119,41338022,20018633,,232,,,2940399,58720,35462826,5875196
2021-03-05 17:00:00,ITA,20374,2525,22899,433571,456470,10031,24036,2467388,99271,,,3023129,41716485,20146921,,222,,,2962077,61052,35661456,6055029
2021-03-06 17:00:00,ITA,20701,2571,23272,442540,465812,9342,23641,2481372,99578,,,3046762,42071509,20267157,,214,,,2983454,63308,35849068,6222441
2021-03-07 17:00:00,ITA,21144,2605,23749,449113,472862,7050,20765,2494839,99785,,,3067486,42342845,20375964,,161,,,3002580,64906,36013136,6329709
2021-03-08 17:00:00,ITA,21831,2700,24531,448002,472533,-329,13902,2508732,100103,,,3081368,42527529,20435513,,231,,,3015474,65894,36115564,6411965
2021-03-09 17:00:00,ITA,22393,2756,25149,453734,478883,6350,19749,2521731,100479,,,3101093,42873501,20543816,,278,,,3032381,68712,36292531,6580970
2021-03-10 17:00:00,ITA,22882,2827,25709,461365,487074,8191,22409,2535483,100811,,,3123368,43234541,20664762,,253,,,3052141,71227,36494453,6740088
2021-03-11 17:00:00,ITA,23247,2859,26106,471244,497350,10276,25673,2550483,101184,,,3149017,43606758,20793180,,266,,,3074409,74608,36702922,6903836
2021-03-12 17:00:00,ITA,23656,2914,26570,482747,509317,11967,26824,2564926,101564,,,3175807,43976394,20911246,,226,,,3098594,77213,36904071,7072323
2021-03-13 17:00:00,ITA,24153,2982,27135,492926,520061,10744,26062,2579896,101881,,,3201838,44349338,21035159,,270,,,3122044,79794,37107202,7242136
2021-03-14 17:00:00,ITA,24518,3082,27600,503666,531266,11205,21315,2589731,102145,,,3223142,44623304,21138014,,243,,,3141921,81221,37275176,7348128
2021-03-15 17:00:00,ITA,25338,3157,28495,501862,530357,-909,15267,2605538,102499,,,3238394,44802319,21197794,,243,,,3156427,81967,37381879,7420440
2021-03-16 17:00:00,ITA,26098,3256,29354,506761,536115,5758,20396,2619654,103001,,,3258770,45171694,21306662,,319,,,3173640,85130,37564451,7607243
2021-03-17 17:00:00,ITA,26517,3317,29834,509174,539008,2893,23059,2639370,103432,,,3281810,45540778,21424371,,324,,,3193783,88027,37770144,7770634
2021-03-18 17:00:00,ITA,26694,3333,30027,517483,547510,8502,24935,2655346,103855,,,3306711,45894515,21544881,,249,,,3216436,90275,37977385,7917130
2021-03-19 17:00:00,ITA,26858,3364,30222,526317,556539,9029,25735,2671638,104241,,,3332418,46259337,21662182,,244,,,3241105,91313,38182937,8076400
2021-03-20 17:00:00,ITA,27061,3387,30448,535005,565453,8914,23832,2686236,104642,,,3356331,46613817,21779015,,243,,,3261607,94724,38384580,8229237
2021-03-21 17:00:00,ITA,27484,3448,30932,540740,571672,6219,20159,2699762,104942,,,3376376,46890903,21873168,,232,,,3280621,95755,38553755,8337148
2021-03-22 17:00:00,ITA,28049,3510,31559,531508,563067,-8605,13846,2732482,105328,,,3400877,47060099,22071115,,227,,,3304516,96361,38660491,8399608
2021-03-23 17:00:00,ITA,28428,3546,31974,528680,560654,-2413,18765,2753083,105879,,,3419616,47395288,22173158,,317,,,3320537,99079,38835012,8560276
2021-03-24 17:00:00,ITA,28438,3588,32026,529282,561308,654,21267,2773215,106339,,,3440862,47759055,22288369,,300,,,3339718,101144,39048757,8710298
2021-03-25 17:00:00,ITA,28424,3620,32044,530914,562958,1650,23798,2794888,106799,,,3464645,48108527,22406066,,260,,,3361632,103013,39251933,8856594
2021-03-26 17:00:00,ITA,28472,3628,32100,534611,566711,3753,23987,2814652,107256,,,3488619,48463509,22517146,,288,,,3383796,104823,39457565,9005944
2021-03-27 17:00:00,ITA,28621,3635,32256,539622,571878,5167,23839,2832939,107636,,,3512453,48820663,22628158,,264,,,3405661,106792,39659217,9161446
2021-03-28 17:00:00,ITA,28701,3679,32380,540855,573235,1357,19611,2850889,107933,,,3532057,49093293,22718748,,217,,,3424211,107846,39824085,9269208
2021-03-29 17:00:00,ITA,29163,3721,32884,533109,565993,-7242,12916,2870614,108350,,,3544957,49249985,22773499,,192,,,3436711,108246,39924265,9325720
2021-03-30 17:00:00,ITA,29231,3716,32947,529885,562832,-3161,16017,2889301,108879,,,3561012,49551436,22863296,,269,,,3450673,110339,40078914,9472522
2021-03-31 17:00:00,ITA,29180,3710,32890,528387,561277,-1555,22673,2913045,109346,,,3583668,49902657,22964290,,283,,,3470896,112772,40284708,9617949
2021-04-01 17:00:00,ITA,28949,3681,32630,530849,563479,2202,23649,2933757,109847,,,3607083,50258742,23069406,,244,,,3492698,114385,40489835,9768907
2021-04-02 17:00:00,ITA,28704,3704,32408,532887,565295,1816,21932,2953377,110328,,,3629000,50589896,23169464,,232,,,3513146,115854,40682634,9907262
2021-04-03 17:00:00,ITA,28489,3714,32203,532652,564855,-440,21261,2974688,110704,,,3650247,50949110,23272337,,234,,,3533001,117246,40872898,10076212
2021-04-04 17:00:00,ITA,28432,3703,32135,536900,569035,4180,18025,2988199,111030,,,3668264,51200043,23356679,,195,,,3550081,118183,41028285,10171758
2021-04-05 17:00:00,ITA,28785,3737,32522,537574,570096,1061,10680,2997522,111326,,,3678944,51302838,23394151,,192,,,3560533,118411,41106214,10196624
2021-04-06 17:00:00,ITA,29337,3743,33080,522625,555705,-14391,7767,3019255,111747,,,3686707,51415800,23425293,,221,,,3567839,118868,41176828,10238972
2021-04-07 17:00:00,ITA,29316,3683,32999,514838,547837,-7868,13708,3040182,112374,,,3700393,51755739,23517311,,276,,,3579829,120564,41346000,10409739
2021-04-08 17:00:00,ITA,28851,3663,32514,511816,544330,-3507,17221,3060411,112861,,,3717602,52117901,23625279,,259,,,3595935,121667,41554856,10563045
2021-04-09 17:00:00,ITA,28146,3603,31749,504612,536361,-7969,18938,3086586,113579,,,3736526,52480874,23732862,,192,,,3613896,122630,41770360,10710514
2021-04-10 17:00:00,ITA,27654,3588,31242,501843,533085,-3276,17567,3107069,113923,,,3754077,52801766,23835131,,186,,,3630408,123669,41945129,10856637
